bin/phyloP -r 0 --wig-scores --mode CONACC --method LRT InnerNodeData/Mods/F84.modified.average.mod.tree1 InnerNodeData/Alignments/allPossibilities2.fa -x InnerNodeData/Mods/F84.modified.infoX > /dev/null
null    alt     scale   pValue
-8.051233       -6.146445       17.394368       0.05096035
-8.050750       -6.139936       17.517416       0.05059506
-8.051235       -6.146499       17.391822       0.05096351
-8.051233       -6.146444       17.392912       0.05096029
-8.051231       -6.146396       17.385045       0.05095749
-8.050750       -6.139936       17.517416       0.05059506
-8.051233       -6.146444       17.393529       0.05096029
-8.051233       -6.146445       17.393230       0.05096035
-8.050747       -6.139832       17.519476       0.05058896
-8.051235       -6.146499       17.391822       0.05096351
-7.911325       -5.153520       43.763970       0.01884750
-7.909115       -5.078058       46.549734       0.01733522
-7.911322       -5.148540       44.108370       0.01874056
-7.911322       -5.148496       44.116297       0.01873962
-7.909123       -5.087661       45.556589       0.01752595
-7.911318       -5.143565       44.556023       0.01863438
-7.911322       -5.148177       44.203997       0.01873279
-7.911325       -5.153520       43.763970       0.01884750
-7.909123       -5.087661       45.556589       0.01752595
-7.911322       -5.148863       44.075490       0.01874748
-8.014840       -6.109863       17.398324       0.05094885
-8.014356       -6.103238       17.525443       0.05057670
-8.014842       -6.109920       17.396113       0.05095220
-8.014840       -6.109863       17.398330       0.05094885
-8.014839       -6.109812       17.404051       0.05094581
-8.014356       -6.103238       17.525443       0.05057670
-8.014840       -6.109863       17.398401       0.05094885
-8.014840       -6.109863       17.392757       0.05094885
-8.014352       -6.103130       17.548929       0.05057042
-8.014842       -6.109920       17.396113       0.05095220
-7.888939       -5.131142       43.990805       0.01884767
-7.886729       -5.055668       46.371223       0.01733514
-7.888936       -5.126152       44.158949       0.01874052
-7.888936       -5.126107       44.215821       0.01873955
-7.886737       -5.065273       45.787621       0.01752591
-7.888932       -5.121185       44.421495       0.01863450
-7.888936       -5.125794       44.130775       0.01873285
-7.888939       -5.131142       43.990805       0.01884767
-7.886737       -5.065273       45.787621       0.01752591
-7.888936       -5.126475       44.118655       0.01874744
-8.010397       -6.105303       17.399216       0.05094173
-8.009902       -6.098583       17.537016       0.05056457
-8.010398       -6.105361       17.401576       0.05094520
-8.010397       -6.105302       17.396087       0.05094167
-8.010395       -6.105250       17.400724       0.05093863
-8.009902       -6.098583       17.537016       0.05056457
-8.010397       -6.105302       17.401169       0.05094167
-8.010397       -6.105302       17.400255       0.05094167
-8.009898       -6.098472       17.543005       0.05055811
-8.010398       -6.105361       17.401576       0.05094520
-7.877065       -5.119261       43.742095       0.01884752
-7.874856       -5.043796       46.344537       0.01733516
-7.877062       -5.114281       44.338130       0.01874058
-7.877062       -5.114235       44.178899       0.01873960
-7.874863       -5.053398       45.742325       0.01752589
-7.877058       -5.109306       44.561232       0.01863440
-7.877062       -5.113917       44.251227       0.01873279
-7.877065       -5.119261       43.742095       0.01884752
-7.874863       -5.053398       45.742325       0.01752589
-7.877062       -5.114601       44.189987       0.01874744
-8.208473       -6.304846       17.339990       0.05103105
-8.208040       -6.299153       17.474741       0.05071157
-8.208475       -6.304886       17.364743       0.05103336
-8.208473       -6.304844       17.367506       0.05103093
-8.208472       -6.304807       17.369839       0.05102873
-8.208040       -6.299153       17.474741       0.05071157
-8.208473       -6.304845       17.366304       0.05103099
-8.208473       -6.304845       17.371043       0.05103099
-8.208037       -6.299074       17.477987       0.05070697
-8.208475       -6.304886       17.364743       0.05103336
-8.052051       -5.294249       43.698897       0.01884756
-8.049842       -5.218786       46.255692       0.01733524
-8.052048       -5.289264       44.164490       0.01874052
-8.052048       -5.289224       44.089282       0.01873966
-8.049849       -5.228383       45.676823       0.01752587
-8.052044       -5.284294       44.484764       0.01863444
-8.052048       -5.288904       44.187770       0.01873281
-8.052051       -5.294249       43.698897       0.01884756
-8.049849       -5.228383       45.676823       0.01752587
-8.052048       -5.289595       43.993099       0.01874761
