bin/phyloP -r 0 --wig-scores --mode CONACC --method LRT InnerNodeData/Mods/F84.modified.mod.tree2 InnerNodeData/Alignments/allPossibilities.fa -x InnerNodeData/Mods/F84.modified.infoX > /dev/null
null	alt	scale	pValue
-7.038225	-6.198949	5.233208	0.19511697
-7.695282	-6.867306	5.162905	0.19815076
-7.698333	-6.876531	5.119643	0.19983170
-7.698394	-6.876661	5.118894	0.19985058
-7.698396	-6.876664	5.118883	0.19985086
-7.698396	-6.876664	5.118883	0.19985086
-7.698397	-6.876664	5.118883	0.19985058
-7.698399	-6.876667	5.118871	0.19985086
-7.698464	-6.876803	5.118107	0.19987029
-7.698464	-6.876803	5.118107	0.19987029
-6.746747	-5.153890	12.863245	0.07428454
-6.746747	-5.153890	12.863245	0.07428454
-6.746710	-5.149239	12.975266	0.07386639
-6.746710	-5.148919	12.986942	0.07383748
-6.746710	-5.148895	12.988088	0.07383532
-6.746710	-5.148874	12.989069	0.07383342
-6.746709	-5.148580	12.998490	0.07380696
-6.746665	-5.144294	13.083878	0.07342509
-6.739385	-5.083377	13.526910	0.06877507
-5.955369	-4.460609	11.463403	0.08380501
-6.971328	-6.131964	5.233980	0.19509356
-7.625695	-6.797498	5.164611	0.19809090
-7.628693	-6.806740	5.120854	0.19979039
-7.628754	-6.806871	5.120090	0.19980954
-7.628757	-6.806874	5.120078	0.19980954
-7.628757	-6.806874	5.120078	0.19980954
-7.628757	-6.806874	5.120077	0.19980954
-7.628759	-6.806878	5.120065	0.19981009
-7.628825	-6.807016	5.119278	0.19982979
-7.628825	-6.807016	5.119278	0.19982979
-6.724361	-5.131504	12.863224	0.07428454
-6.724361	-5.131504	12.863224	0.07428454
-6.724324	-5.126853	12.975276	0.07386639
-6.724324	-5.126532	12.986941	0.07383739
-6.724324	-5.126509	12.988070	0.07383532
-6.724324	-5.126487	12.989069	0.07383333
-6.724323	-5.126194	12.998490	0.07380696
-6.724279	-5.121908	13.083862	0.07342509
-6.716999	-5.060991	13.526917	0.06877507
-5.932983	-4.438222	11.463406	0.08380490
-6.982867	-6.143430	5.234603	0.19507414
-7.638532	-6.810092	5.166432	0.19802511
-7.641621	-6.819536	5.121901	0.19975429
-7.641684	-6.819671	5.121109	0.19977398
-7.641686	-6.819674	5.121096	0.19977425
-7.641686	-6.819674	5.121096	0.19977425
-7.641686	-6.819674	5.121095	0.19977425
-7.641688	-6.819677	5.121082	0.19977453
-7.641756	-6.819820	5.120270	0.19979504
-7.641756	-6.819820	5.120270	0.19979504
-6.712488	-5.119631	12.863227	0.07428454
-6.712488	-5.119631	12.863227	0.07428454
-6.712451	-5.114980	12.975276	0.07386639
-6.712450	-5.114659	12.986941	0.07383748
-6.712450	-5.114636	12.988084	0.07383541
-6.712450	-5.114614	12.989067	0.07383342
-6.712450	-5.114321	12.998490	0.07380696
-6.712406	-5.110035	13.083882	0.07342509
-6.705126	-5.049118	13.526908	0.06877507
-5.921110	-4.426349	11.463408	0.08380490
-7.232359	-6.393705	5.227822	0.19528254
-7.893179	-7.067036	5.149021	0.19864808
-7.896005	-7.075303	5.110915	0.20013294
-7.896058	-7.075410	5.110335	0.20014774
-7.896060	-7.075413	5.110326	0.20014802
-7.896060	-7.075413	5.110326	0.20014802
-7.896060	-7.075413	5.110326	0.20014802
-7.896062	-7.075416	5.110317	0.20014829
-7.896119	-7.075527	5.109731	0.20016310
-7.896119	-7.075527	5.109731	0.20016310
-6.887474	-5.294617	12.863223	0.07428454
-6.887474	-5.294617	12.863223	0.07428454
-6.887436	-5.289966	12.975279	0.07386648
-6.887436	-5.289645	12.986942	0.07383748
-6.887436	-5.289622	12.988089	0.07383541
-6.887436	-5.289600	12.989069	0.07383342
-6.887436	-5.289307	12.998490	0.07380696
-6.887391	-5.285021	13.083881	0.07342518
-6.880112	-5.224103	13.526912	0.06877499
-6.096095	-4.601335	11.463403	0.08380501
