bin/phyloP	-r	0	--wig-scores	--mode	CONACC	--method	LRT	InnerNodeData/Mods/F84.modified.mod.tree1	InnerNodeData/Alignments/allPossibilities2.fa	-x	InnerNodeData/Mods/F84.modified.infoX
null	alt	scale	pValue
-10.231760	-7.375280	47.182287	0.01684012
-8.457635	-5.560063	49.683369	0.01607050
-10.831069	-7.974889	47.163998	0.01684588
-8.961618	-6.102383	47.408860	0.01678735
-7.903787	-5.038658	47.684076	0.01667503
-7.363474	-4.490821	48.146277	0.01653278
-9.296958	-6.439267	47.475710	0.01681691
-9.561268	-6.703993	47.165789	0.01682488
-7.533106	-4.662195	48.014642	0.01656560
-10.899288	-8.043120	47.086493	0.01684611
-10.969107	-7.242432	114.392856	0.00633185
-7.626041	-3.900748	113.464748	0.00634158
-9.633501	-5.911269	111.324972	0.00636319
-9.370181	-5.647366	113.193838	0.00635907
-7.460844	-3.762894	104.963973	0.00653727
-7.989566	-4.270877	110.369940	0.00638829
-9.036472	-5.303126	113.323949	0.00628509
-10.900950	-7.173554	115.844762	0.00632678
-8.533747	-4.531180	134.932744	0.00466449
-10.302401	-6.578849	112.423905	0.00635386
-10.203910	-7.347324	47.164877	0.01683809
-8.430135	-5.531651	49.666598	0.01605383
-10.803185	-7.946898	47.179196	0.01684382
-8.933957	-6.074599	47.297585	0.01678500
-7.876612	-5.011345	47.910303	0.01667241
-7.336820	-4.464005	48.250730	0.01652973
-9.269223	-6.411421	47.339651	0.01681478
-9.533488	-6.676099	47.270447	0.01682269
-7.506259	-4.635171	47.984280	0.01656226
-10.871402	-8.015119	47.195847	0.01684390
-10.946721	-7.222878	111.134987	0.00635181
-7.603655	-3.882582	107.699952	0.00637139
-9.611115	-5.887044	113.426950	0.00635020
-9.347795	-5.623179	115.618701	0.00634635
-7.438457	-3.737188	109.457933	0.00651319
-7.967180	-4.245898	113.683680	0.00636991
-9.014086	-5.279870	114.296990	0.00627902
-10.878564	-7.153285	113.070978	0.00634168
-8.511360	-4.507368	137.078825	0.00465716
-10.280015	-6.553197	116.829852	0.00633084
-10.194942	-7.338290	47.236670	0.01683682
-8.420961	-5.521894	49.824341	0.01604319
-10.794234	-7.937884	47.201070	0.01684262
-8.924888	-6.065455	47.309972	0.01678357
-7.867283	-5.001933	47.886046	0.01667084
-7.327214	-4.454306	48.132557	0.01652798
-9.260193	-6.402329	47.299462	0.01681359
-9.524482	-6.667027	47.343551	0.01682143
-7.496755	-4.625560	48.004496	0.01656024
-10.862453	-8.006114	47.101492	0.01684283
-10.934848	-7.206423	116.906657	0.00631955
-7.591782	-3.868459	110.376915	0.00635548
-9.599242	-5.876268	112.134956	0.00635794
-9.335922	-5.610392	117.072629	0.00633991
-7.426584	-3.724837	110.342918	0.00650973
-7.955307	-4.236207	110.838962	0.00638537
-9.002213	-5.268280	113.972953	0.00628100
-10.866690	-7.140323	114.421888	0.00633402
-8.499487	-4.498831	132.489941	0.00467435
-10.268142	-6.543595	113.610886	0.00634684
-10.378899	-7.523058	47.163573	0.01685238
-8.604445	-5.712536	49.186696	0.01617437
-10.978246	-8.122714	47.055589	0.01685832
-9.108538	-6.250073	47.207885	0.01680208
-8.050137	-5.185848	47.750712	0.01669099
-7.509213	-4.637528	48.076228	0.01655101
-9.443964	-6.586926	47.207185	0.01682942
-9.708324	-6.851702	47.153677	0.01683740
-7.679075	-4.809247	47.886282	0.01658604
-11.046469	-8.190941	47.131577	0.01685840
-11.109834	-7.383110	114.454845	0.00633150
-7.766768	-4.042839	111.223968	0.00635120
-9.774227	-6.050284	113.270908	0.00635110
-9.510908	-5.786043	115.996789	0.00634460
-7.601570	-3.899629	110.735836	0.00650833
-8.130292	-4.408857	113.912736	0.00636882
-9.177199	-5.439544	119.016737	0.00625508
-11.041676	-7.317762	111.544955	0.00635130
-8.674473	-4.674768	131.403953	0.00467926
-10.443127	-6.720567	111.332966	0.00636087
